Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43385914,Swipe to Unlock: The Primer on Technology and Business Strategy,Parth Detroja,"Detroja, Parth","Neel Mehta, Aditya   Agashe","=""""","=""""",0,4.22,Amazon Digital Services,Kindle Edition,325,2018,2017,,2025/10/23,to-read,to-read (#1182),to-read,,,,0,0
2019095,A Practical Guide to Data Structures and Algorithms using Java (Chapman & Hall/CRC Applied Algorithms and Data Structures series),Sally A. Goldman,"Goldman, Sally A.",Kenneth J. Goldman,"=""158488455X""","=""9781584884552""",0,4.50,Chapman and Hall/CRC,Hardcover,1054,2007,2007,,2025/10/23,to-read,to-read (#1181),to-read,,,,0,0
21280882,Smartups: Lessons from Rob Ryan's Entrepreneur America Boot Camp for Start-Ups,Rob Ryan,"Ryan, Rob",David J. BenDaniel,"=""""","=""""",0,3.24,Cornell University Press,Kindle Edition,240,2012,2002,,2025/10/23,to-read,to-read (#1180),to-read,,,,0,0
19202564,"Letting Go: The Pathway of Surrender (Power vs. Force, #9)",David R. Hawkins,"Hawkins, David R.",,"=""1401945538""","=""""",0,4.08,Hay House LLC,Kindle Edition,380,2013,2012,,2025/10/23,to-read,to-read (#1179),to-read,,,,0,0
19091559,Dynamic Programming (Dover Books on Computer Science),Richard E. Bellman,"Bellman, Richard E.",,"=""0486317196""","=""9780486317199""",0,4.27,Dover Publications,Kindle Edition,535,2013,1957,,2025/10/23,to-read,to-read (#1178),to-read,,,,0,0
46038100,Call Sign Chaos,Jim Mattis,"Mattis, Jim",Bing West,"=""0812996844""","=""9780812996845""",0,4.30,Random House,Kindle Edition,332,2019,2019,,2025/10/23,to-read,to-read (#1176),to-read,,,,0,0
46155853,Machine Learning: An Applied Mathematics Introduction,Paul Wilmott,"Wilmott, Paul",,"=""1916081606""","=""9781916081604""",0,3.89,Panda Ohana Publishing,Paperback,242,2019,,,2025/10/23,to-read,to-read (#1177),to-read,,,,0,0
33835686,"The Awakened Ape: A Biohacker's Guide to Evolutionary Fitness, Natural Ecstasy, and Stress-Free Living",Jevan Pradas,"Pradas, Jevan",,"=""""","=""""",0,3.79,,Kindle Edition,293,2017,2017,,2025/10/23,to-read,to-read (#1175),to-read,,,,0,0
109533,The New Way Things Work,David Macaulay,"Macaulay, David",Neil Ardley,"=""0395938473""","=""9780395938478""",0,4.26,Houghton Mifflin,Hardcover,400,1998,1988,,2025/10/23,to-read,to-read (#1174),to-read,,,,0,0
22363511,"The Eye of the I: From Which Nothing is Hidden (Power vs. Force, #2)",David R. Hawkins,"Hawkins, David R.",,"=""1401945457""","=""9781401945459""",0,4.45,Hay House LLC,Kindle Edition,320,2013,2001,,2025/10/23,to-read,to-read (#1173),to-read,,,,0,0
36433824,"Explain the Cloud Like I'm 10: Learn the Secrets of AWS, Azure, GCP, and K8s",Todd Hoff,"Hoff, Todd",,"=""""","=""""",0,4.36,,Kindle Edition,555,2017,,,2025/10/23,to-read,to-read (#1172),to-read,,,,0,0
25659915,Graph Algorithms,Shimon Even,"Even, Shimon",Guy Even,"=""1139932586""","=""9781139932585""",0,3.64,Cambridge University Press,Kindle Edition,199,2011,1979,,2025/10/23,to-read,to-read (#1171),to-read,,,,0,0
18819076,The Noble Eightfold Path: Way to the End of Suffering,Bhikkhu Bodhi,"Bodhi, Bhikkhu",,"=""1928706835""","=""9781928706830""",0,4.43,BPS Pariyatti Editions,Kindle Edition,134,2011,1994,,2025/10/23,to-read,to-read (#1170),to-read,,,,0,0
21938445,The French Cook: Soufflés: Souffles,Greg Patent,"Patent, Greg",Kelly Gorham,"=""1423636139""","=""9781423636137""",0,4.50,Gibbs Smith,Kindle Edition,129,2020,2014,,2025/10/23,to-read,to-read (#1169),to-read,,,,0,0
22709382,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""1101621613""","=""9781101621615""",0,4.20,Penguin Publishing Group,Kindle Edition,332,2014,2014,,2025/10/23,to-read,to-read (#1168),to-read,,,,0,0
19174410,An Introduction to Mathematical Modeling (Dover Books on Computer Science),Edward A. Bender,"Bender, Edward A.",,"=""0486137120""","=""9780486137124""",0,4.13,Dover Publications,Kindle Edition,273,2012,1991,,2025/10/23,to-read,to-read (#1167),to-read,,,,0,0
44450994,Learning Algorithms Through Programming and Puzzle Solving,Alexander S. Kulikov,"Kulikov, Alexander S.",,"=""""","=""""",0,3.73,Active Learning Technologies,Kindle Edition,0,2019,,,2025/10/23,to-read,to-read (#1166),to-read,,,,0,0
19297763,The Ayurvedic Cookbook,Amadea Morningstar,"Morningstar, Amadea",Urmila Desai,"=""1608691063""","=""9781608691067""",0,4.12,Lotus Press,Kindle Edition,506,1992,1990,,2025/10/23,to-read,to-read (#1165),to-read,,,,0,0
34622855,"Mind, Mind Management & Raja Yoga (Yogadrishti Series)",Swami Niranjanananda Saraswati,"Saraswati, Swami Niranjanananda",,"=""9384753270""","=""9789384753276""",0,4.63,Yoga Publications Trust,Kindle Edition,196,2017,,,2025/10/23,to-read,to-read (#1164),to-read,,,,0,0
20875103,Governing Business and Relationships,A.  Parthasarathy,"Parthasarathy, A.",,"=""""","=""""",0,4.11,A. Parthasarathy,Kindle Edition,156,2014,2010,,2025/10/23,to-read,to-read (#1163),to-read,,,,0,0
20875092,Vedanta Treatise: The Eternities,A. Parthasarathy,"Parthasarathy, A.",,"=""""","=""""",0,4.44,A. Parthasarathy,Kindle Edition,398,2014,1978,,2025/10/23,to-read,to-read (#1162),to-read,,,,0,0
20502663,The Fall of the Human Intellect,A. Parthasarathy,"Parthasarathy, A.",,"=""""","=""""",0,4.14,A. Parthasarathy,Kindle Edition,92,2012,2007,,2025/10/23,to-read,to-read (#1161),to-read,,,,0,0
21256362,Maximise Your Memory Power,Nishant Kasibhatla,"Kasibhatla, Nishant",,"=""""","=""""",0,4.20,Marshall Cavendish Business,Kindle Edition,212,2012,2010,,2025/10/23,to-read,to-read (#1160),to-read,,,,0,0
44059024,Probabilistic Data Structures and Algorithms for Big Data Applications,Andrii Gakhov,"Gakhov, Andrii",,"=""""","=""""",0,4.32,gakhov,Kindle Edition,0,2019,,,2025/10/23,to-read,to-read (#1159),to-read,,,,0,0
19563888,Introductory Discrete Mathematics (Dover Books on Computer Science),V.K. Balakrishnan,"Balakrishnan, V.K.",,"=""0486140385""","=""9780486140384""",0,3.87,Dover Publications,Kindle Edition,260,2012,1991,,2025/10/23,to-read,to-read (#1158),to-read,,,,0,0
35059698,Naive Set Theory (Dover Books on Mathematics),Paul R. Halmos,"Halmos, Paul R.",,"=""0486821153""","=""9780486821153""",0,4.23,Dover Publications,Kindle Edition,164,2017,1960,,2025/10/23,to-read,to-read (#1157),to-read,,,,0,0
50741499,"From Scratch: 10 Meals, 175 Recipes, and Dozens of Techniques You Will Use Over and Over",Michael Ruhlman,"Ruhlman, Michael",,"=""1683356535""","=""9781683356530""",0,4.22,Abrams,Kindle Edition,352,2019,,,2025/10/23,to-read,to-read (#1156),to-read,,,,0,0
19304300,You Are That: An Elegant Collector's Volume of Gangaji's Masterful Teachings,Gangaji,"Gangaji, Gangaji",,"=""1591798884""","=""9781591798880""",0,4.26,Sounds True,Kindle Edition,372,2007,1997,,2025/10/23,to-read,to-read (#1155),to-read,,,,0,0
43662125,Practical Haskell: A Real World Guide to Programming,Alejandro Serrano Mena,"Mena, Alejandro Serrano",,"=""1484244796""","=""9781484244791""",0,4.00,Apress,Paperback,617,2019,,,2025/10/23,to-read,to-read (#1154),to-read,,,,0,0
18891286,The Practicing Mind: Developing Focus and Discipline in Your Life Master Any Skill or Challenge by Learning to Love the Process,Thomas M. Sterner,"Sterner, Thomas M.",,"=""1608680916""","=""9781608680917""",0,3.96,New World Library,Kindle Edition,168,2012,2006,,2025/10/23,to-read,to-read (#1153),to-read,,,,0,0
8969552,The Hacker Ethic: A Radical Approach to the Philosophy of Business,Pekka Himanen,"Himanen, Pekka",Linus Torvalds,"=""""","=""""",0,3.75,,Kindle Edition,258,,1999,,2025/10/23,to-read,to-read (#1152),to-read,,,,0,0
